X1740224c.32d1.4c9f.98c6.653363	X6c660b6b.bfda.47b0.9499.160d49	X1664b920.5e60.4e3b.9aab.fe121c	X81116212.b7e6.454b.9579.105cf3	X33adae13.5dbd.4530.a5d5.3763e4	X428de0d4.7f84.4075.bae1.352af6	X0a80d3c4.0758.447a.958c.ea868c	X53723086.8858.4395.93d7.0baa68	X3367406e.d39c.4641.a3e7.44e1f3	X241ecd0e.89bd.4d3a.81b3.55a250	X64ee175f.f3ce.446e.bbf4.9b6fa8_D1	X4749ba99.d3b8.4ae3.b6f6.458bc7	X7ac27de9.0932.4ff5.aab8.29c527	X885fe794.a98e.4f81.a284.ac4bb8
A1BG	1.25067122670167	2.0917954746988	2.04809209465772	2.67576614889596	1.83267021857969	2.0470502744393	1.58501477365109	2.26035963548223	2.0247542034068	2.18640997672844	2.21258300637734	2.18535384414346	2.63950420084113	2.28772123366048
A2M	1.64170826503248	2.40875691081151	2.34187932422945	1.523356435012	2.22933912223552	2.06708373954546	1.67996650665566	2.88329269866429	2.28843274849935	2.49232615072945	2.9206119856701	2.5309021358747	2.87754999420566	2.6795821652955
A2ML1	2.30026826989036	1.93200631502646	-2.52983885025351	1.98070622898291	-1.87445096493511	1.91384520243687	2.03397484874748	1.19177045130858	-1.88513193827758	-1.81750727992922	-0.895749071726091	-1.00455387972901	-1.23715712608992	1.76339062119443
AAAS	0.43671877030541	1.03990005684598	0.151901344561989	0.492974967116668	0.304960152972843	0.322838945910126	0.3196241131112	1.18365703988139	0.44269550071394	0.511452505643992	0.652542307765947	0.179017830314614	0.160969866827685	1.03082230930684
AACS	-0.338801413016326	-0.00701706166447519	-0.522305334091811	0.0221900292753115	0.324145742864086	-0.243323977278749	-0.4939375415153	-0.25649755241528	-0.419084128524012	-0.0934460806487455	-0.283714338840002	-0.177116346881639	0.151437771209471	-0.472113739502429
AADAT	4.98583088447291	2.04913684492109	2.26027307430987	1.63860796291135	1.73614516828602	0.983052199075622	3.78761183513576	0.607827191261066	1.43384447588365	2.00814685057189	1.46177838830137	1.04597557526485	1.49829512234935	2.06724079684286
AAGAB	-0.294187345871276	-0.395405809459304	-0.396434028411249	-0.12182893403804	-0.285790746876506	-0.191265457095211	-0.433502704587892	-0.363294353771259	-0.253908578656782	-0.390395549498626	-0.0963286798767924	-0.656771295772948	-0.483167226088242	-0.266127757577032
AAK1	-0.223424892436619	-0.245344803063264	-0.342440229100519	-0.0489407864437856	-0.0868915775712343	-0.304088091847003	-0.0847004956600945	-0.00824378199464992	-0.190550072214272	-0.340623040908389	-0.0965137588669922	-0.112909143978981	-0.0420743650755098	-0.104792395031411
AAMDC	1.05880442795186	1.22808164635258	1.73539322474048	0.488757287530849	0.764222691622247	0.87152847685225	1.19652108197563	0.196503385393299	0.969066336598103	1.70142352748138	0.594826288119811	0.760219683669864	0.840481734740867	1.70067701464207
AAMP	-0.0422336469902215	-0.123437685065905	-0.0226385473381505	0.0212519797377179	0.260943540004034	-0.00563913901888713	-0.0734517499730502	-0.0661903210874018	0.285241984842416	0.103625472041666	-0.540576153319187	-0.0642666679592981	-0.0429763475302943	-0.349127448147828
AAR2	0.463043784666072	0.258077448465474	-0.233600820727597	0.147189616544978	-0.376456688772235	0.227249664533372	0.335976229782212	0.383853438981597	-1.19690040345553	-0.288080681639604	-0.182448440053294	-0.292845858043158	-0.046123741938192	0.349144395412264
