b22659b9.e12c.4725.a7db.a833de_D1_D2.Unshared.Log.Ratio	X3fbf076a.824b.4eac.b6dc.bf5e59_D2.Unshared.Log.Ratio	X2b73e01c.347a.4dae.a71d.752aeb_D2.Unshared.Log.Ratio	X340a3769.3031.41ae.bb08.a2f696_D2.Unshared.Log.Ratio	X994f9b8e.46cb.413f.8ec8.2c2fed_D2.Unshared.Log.Ratio	X3e746bea.ed68.40e6.b348.6ddf08_D2.Unshared.Log.Ratio	X0745488e.0bfb.4d1f.8228.dedf76_D1_D2.Unshared.Log.Ratio	X8ed739dd.ae0f.4881.971a.db3cf4_D1_D2.Unshared.Log.Ratio	X21efd60f.6a31.4b98.9477.16a905_D2.Unshared.Log.Ratio	X092af714.b97a.457c.b0e9.8c20e8_D2.Unshared.Log.Ratio	b9c1f22e.61f7.45ed.b3b4.5094c7_D2.Unshared.Log.Ratio	X685ec3c2.e67a.40d3.9eb3.aa01c9_D1_D2.Unshared.Log.Ratio	X31c15e30.21d4.4843.bd4a.9cd0d8_D2.Unshared.Log.Ratio	X1abbcb28.f221.4cd4.8c01.37b9bb_D1_D2.Unshared.Log.Ratio	X61f76fe6.a1c6.41b8.bdc2.2f9209_D2.Unshared.Log.Ratio	X1db5574d.aca7.403c.8100.6e705f_D2.Unshared.Log.Ratio	X6e209757.a7f4.45af.b5f3.2ebc02_D2.Unshared.Log.Ratio	X1556af7e.c2ae.4fce.9aae.87c459_D1_D2.Unshared.Log.Ratio	X7edfd606.4bee.4529.9fec.1ca7f0_D2.Unshared.Log.Ratio
A1BG	1.00464964252142	0.694423909405974	1.15853550945556	0.631716139666681	1.69018656765601	0.938415025683814	0.311821671303727	0.815850815533066	0.832551042854444	0.634839498911156	0.864921237374606	1.42192082500636	0.840265450240463	1.54538933714841	0.975476374036746	0.707884753304433	0.931987738770775	0.869285931207456	0.863177176500124
A2M	0.988666647498531	0.975431032493088	0.928443340105268	0.195610567706395	2.08487582304106	0.86089726493572	0.0096509275067074	0.650268804687494	0.438723081273672	-0.291475964075443	2.54232614539653	1.54400762405022	0.723327474535077	1.30256837639108	0.644617601686967	0.470989329137671	0.829958412861699	0.379302335761681	1.0564167232204
AAAS	0.374133159375335	0.174841461922499	-0.531033455526919	-0.432559444107169	0.286288471104045	-6.66063750468874	0.0305418103624092	-0.270564970769236	0.471349781746172	-0.823531584786386	-0.00220877837789955	0.110631828960042	-1.38986099792852	0.528244952657344	0.458786524371127	-0.141693087996165	-0.69364202206216	0.0705392701298537	-1.21901617133938
AACS	-0.352040159117125	0.382677506200374	-0.586572505548234	-1.01524907943732	-0.0868679645691677	-0.148918509460727	0.874471363160611	-0.12853598642777	-0.100432630625448	-0.470064986990528	-0.98403560734773	-0.156670316859648	-0.191911014022481	0.122166095957608	-0.224946242017397	1.07859529787125	-0.712366064737021	-0.0844185943723414	-1.49622380648767
AAGAB	-0.239795340732445	-0.524987377579361	0.61921229301254	1.93983857894906	-0.562245398988993	0.327903184907395	-1.0424100227184	0.53836654005559	0.065756992914878	0.0571764856056837	-0.282162014803008	0.278547993364914	1.48234329586207	-0.199665529904681	-3.19692651849923	-0.0731465156962112	0.330647063802977	-0.0812172654255393	1.3633023145224
AAK1	-0.672918745296435	-1.11089266065084	-0.455091051904482	-0.656263590379353	0.17017986337288	-0.5343088702986	0.68093757291549	-0.770261582253346	-0.724639584547058	-0.115350661259869	-0.37666336268202	-0.854629518998287	-0.336066853995196	-0.198155940778977	0.0415219091622957	-1.51242586001087	-0.577770649416776	-0.388221582530124	0.471251212028995
AAMDC	-0.239167180777104	1.02072843674276	0.435347993836408	0.491535700547278	-0.123034537768619	0.313362702085897	1.65052948676187	-0.449765685926077	-0.385257623626021	0.579569066104333	0.056177355494424	0.203592790388122	0.811846306081268	-0.0226945669211077	0.687656036002992	0.116668953026068	0.291265886291728	1.21343483781622	-0.13116313583562
AAMP	-0.36091054995316	-0.825180436924638	-0.239740273119251	-0.332068640338268	-0.15293793873621	-0.254748096773784	-0.169921988312325	-0.922978113435919	-0.846221764280186	-0.600594572677881	-0.000724156087438943	0.0177781732900926	-0.910183300098522	-0.234755312887726	-0.661854193667087	-0.0777714576174989	-0.383107275667175	-0.244929443332114	-1.14573574552407
AAR2	-0.24214083494226	-0.652276305281104	-1.23279258416923	-0.533582575619134	-0.93883678499462	-1.41670666493624	-1.44272094384923	-1.96867573991504	-1.32925216266901	-1.4199457509089	-0.320606448278432	-1.00587697482172	-1.42192531344481	-1.0230772529595	-0.663790975686284	-1.24434971072975	-0.718520490558668	-0.941856385082668	-1.28733326642317
AARS	-0.20242680672063	-0.495437605976126	-0.509530986208273	-0.792015824827082	0.205362800007625	-0.246812875911483	-0.261959456191155	-0.619118889088998	-0.528961871015537	-0.485743156249183	-0.38330114070319	-1.16204170251009	-0.494890432726907	-0.910689565033607	-0.736460514543926	-0.414562381697651	-0.350460918370687	-0.627708787069607	-0.245397801336485
AARS2	-0.0358785274617185	-0.197660778244577	-0.192813287486718	-0.884794274028928	0.453331155168759	0.0552141926920192	-0.155405428457233	-0.145557315582677	-0.23206683616954	-0.415435522524347	-0.429670826933192	-0.951695006575606	-0.387906334413847	-0.250517959041895	-0.189384131892108	-0.469961847506795	-0.146078345882551	-0.111841371353623	-0.0317548076886795
AARSD1	0.640235302543249	-0.331585875238245	0.0214731696572544	0.00755244623888177	0.109826929381875	0.409455635981266	0.602918767223726	-0.144075774815209	0.580837477760841	0.26068978557232	0.156368068159252	0.086462867986705	0.484622937417452	0.720251603155439	0.0470495684728457	0.794509019848372	0.42567702229847	-0.129734261089579	-0.326906135360717
AASDHPPT	0.307277069079331	-1.30307323349513	-0.471616848172757	-0.309845916174234	-0.31939918587879	0.0500132776783132	-0.197699209463427	-0.105740043635825	-0.000827290180072579	-0.83920745267912	-0.500139072470515	-1.29914428688829	-0.599699329479148	-0.447437503662685	0.057461038222937	-0.137554155722649	0.147411402384705	-0.997210225493898	-0.313083644023831
AASS	0.398994882515898	0.668762104758516	0.244861182973982	-2.20274507766189	1.62454298366791	-0.294074275863213	0.815454157467815	0.7344721403052	0.951620396867246	0.115556253079483	0.697808092428119	0.0543721960422684	-0.990007341616019	0.0122702215915582	-0.584851568202047	1.06184823542435	0.430399443048073	0.79240990123974	0.452067814529884
AATF	0.16272899503392	-0.261405352323228	0.371808692657877	0.0070569333088323	0.230314556534245	-0.457038838634216	0.357139923195258	-0.251897475451457	-0.530076481334107	-0.513465231277322	-0.11927796823511	0.702947310625959	-0.784350135332639	-0.0278500106487089	-0.225971479048825	-0.26851394001143	-0.729848944614028	-0.270115314676667	0.0654574315750312
ABAT	-0.117741790597971	0.00536789121224241	-0.856651455230307	-0.210088948062471	-3.62094363879375	-0.165228757261507	-1.19453283575768	-0.806296518884626	-1.11621611730806	-1.47272968693726	0.180274654124497	-0.871257374904303	-0.680489514890862	-1.53828664911577	-1.59103482384607	-0.832101833826125	-0.303445795483308	-0.948335995295833	0.194164284695841
ABCA1	3.91323967430962	-0.40724988973912	-0.599067196713187	-0.489144023708481	-0.217112868293562	0.496743038417322	-0.489736362109494	-0.300125399928933	0.648217372324054	-0.575685715536323	-0.485840976693495	-0.665036434263389	-0.239986934716703	0.17667477905953	-0.666035102781234	0.742030999023734	3.35991167121486	-0.264284086881164	1.20613361042585
ABCB10	0.277933495662147	0.204119930873337	-0.73206738703298	-0.0849042602252519	-0.203722091505468	-0.884403557195243	0.644982835015769	-0.152685365901066	0.27354886598919	-0.071852349588336	0.102975114554072	-0.494502667809808	-0.308572896911066	-0.0744355327928792	0.181507087984443	-0.0799357706576437	-0.0131752828549499	-0.194526423690299	-0.436450568709736
ABCB6	-0.143850295607438	0.745622241003783	-0.211712976031231	-0.268200330155743	-1.52744998161817	0.239606076468969	0.0952736880452392	0.285024272854164	0.114625367900622	0.00620720428740705	0.25246733276723	0.20747657888096	0.190848291825451	0.489376291455407	-0.0227775148092065	0.616905361164605	0.0179753141612385	0.278835322642674	0.149316022573338
